name,age,gender,education,income,country,purchase_frequency,annual_spending,cluster
Heather Wright,56,Male,Master,56697,Cambodia,0.3,5950.455,1
Margaret Taylor,24,Female,PhD,30662,Kyrgyz Republic,0.1,1653.31,1
Charles Mitchell,35,Female,High School,53618,Dominican Republic,0.3,3804.27,1
David Harris,59,Female,High School,40242,Greenland,0.5,8006.05,1
Kim Perry,19,Male,High School,46966,Aruba,0.5,3674.15,1
Ashley Chambers,53,Female,Master,94379,Sierra Leone,0.1,2371.895,1
Linda Saunders,65,Female,PhD,77074,Isle of Man,0.6,15512.22,0
Amber Jensen,52,Male,Bachelor,69227,Christmas Island,1.0,18461.35,0
Joseph Mitchell,36,Male,Bachelor,39794,Guadeloupe,0.5,7494.85,1
Brittney Wright,39,Female,Master,32282,Guam,0.6,11168.46,0
Derek Ibarra,57,Male,High School,55339,Holy See (Vatican City State),0.3,4430.085,1
William Torres,27,Female,Master,71746,Mauritius,0.9,16728.57,0
Melissa Green,26,Female,High School,82660,Cocos (Keeling) Islands,0.4,5653.2,1
Harry Hodges,21,Female,Bachelor,88557,Isle of Man,0.2,2885.57,1
Timothy Shaffer,37,Female,Master,59220,San Marino,0.7,13972.7,0
Chase Bryant,24,Male,PhD,82128,United Kingdom,0.6,10263.84,0
Kristen Mccoy,39,Male,PhD,35205,Chile,0.8,15808.2,0
Tamara Morgan,45,Male,Master,63919,Ghana,0.3,5458.785,1
Stephanie Clayton,28,Female,High School,28629,Northern Mariana Islands,0.2,2286.29,1
Erika Lowery,30,Male,High School,70438,Yemen,0.1,1152.19,1
Richard Sanford,24,Female,Master,78791,Gibraltar,0.8,12751.64,0
Vanessa Hernandez,55,Male,PhD,30965,San Marino,0.6,12928.95,0
Jason Neal,32,Female,Bachelor,76521,Grenada,0.4,6730.42,1
Cameron Shields,40,Male,High School,23620,Bolivia,0.9,10062.9,0
Ashley Rodriguez,46,Male,High School,85154,Tajikistan,0.7,9980.39,0
Karen Jackson,34,Male,High School,48297,Saint Vincent and the Grenadines,1.0,10414.85,0
Jonathan Sullivan,27,Male,Bachelor,80084,Palau,0.7,10502.94,0
Margaret Olson,41,Male,High School,98150,Somalia,0.8,11926.0,0
Thomas Watson,27,Female,PhD,88318,Libyan Arab Jamahiriya,0.8,17932.72,0
Ms. Megan Lucas,61,Female,PhD,85358,Norfolk Island,0.4,10507.16,0
Stephanie Smith,52,Male,High School,64593,Gambia,0.6,9137.79,0
Courtney Young,38,Male,Bachelor,53670,Bouvet Island (Bouvetoya),1.0,15683.5,0
Thomas Miller,27,Female,Master,81660,Togo,0.2,3816.6,1
Mrs. Sabrina Weaver MD,23,Male,High School,49503,Chad,0.3,2242.545,1
Tracy Shaw,20,Female,High School,78797,United States Minor Outlying Islands,0.6,6563.91,1
Vanessa Fox,28,Male,PhD,68669,Comoros,0.9,17490.105,0
Jessica Oliver,42,Male,High School,87895,Togo,1.0,14394.75,0
Benjamin Coleman,22,Female,Bachelor,57966,British Indian Ocean Territory (Chagos Archipelago),0.9,11608.47,0
Susan Perez,56,Female,PhD,70930,Spain,1.0,25546.5,0
Shannon Lloyd,55,Male,High School,20031,Papua New Guinea,0.3,3900.465,1
Jessica Sanders PhD,37,Female,Master,28601,Burundi,0.8,14744.04,0
Connor Aguirre,34,Female,PhD,70352,Kenya,0.7,15062.32,0
Betty Sanders DVM,21,Male,Bachelor,51319,North Macedonia,0.5,5282.975,1
Joshua Holland,64,Female,High School,24709,Denmark,0.8,12188.36,0
Bradley Lewis,44,Male,PhD,98900,Chile,0.2,4589.0,1
Lisa Myers,61,Male,Master,73888,Lithuania,0.1,2069.44,1
Lindsay Fisher,57,Female,PhD,80146,Bahrain,0.1,2600.73,1
Kevin Torres,24,Female,Bachelor,22651,Tuvalu,0.1,1113.255,1
Jessica Flores,56,Male,Master,33800,Venezuela,0.9,16821.0,0
Ashley Fry,59,Female,Bachelor,70254,Nauru,0.8,16410.16,0
Todd Deleon,25,Male,PhD,64284,Greenland,0.2,3242.84,1
Samuel Simon,61,Female,Bachelor,70809,Gabon,0.5,10270.225,0
Randall Jackson,65,Male,Bachelor,25004,Taiwan,0.7,11375.14,0
Jessica Flowers,46,Female,Bachelor,79699,Ireland,0.6,11390.97,0
Tiffany Sutton,58,Male,High School,25240,Singapore,0.8,10609.6,0
Cheryl Lane,34,Male,Bachelor,50101,Somalia,0.2,2701.01,1
Jacob White,58,Female,Master,34869,Paraguay,0.3,6223.035,1
Larry Reyes,45,Female,High School,33731,Spain,0.7,9580.585,0
Diana Jones,22,Male,PhD,40467,British Virgin Islands,0.1,1502.335,1
Derrick Williams,46,Female,PhD,23949,Palau,0.8,16957.96,0
Mrs. Peggy Weaver,38,Female,High School,66203,Honduras,0.2,3062.03,1
Kaylee Moore,25,Female,High School,65278,United Kingdom,0.6,6158.34,1
Sean Hughes DDS,29,Male,Bachelor,67946,Gambia,0.2,2879.46,1
Erika Bush,56,Male,Bachelor,20423,Iceland,0.4,6408.46,1
Kelly Morris,60,Male,High School,58438,Cook Islands,0.6,8953.14,0
Chelsey Garcia,62,Male,Bachelor,38597,Saint Vincent and the Grenadines,0.3,5078.955,1
Barbara Thompson,47,Male,PhD,65147,Nigeria,0.5,10628.675,0
Kevin Cole,26,Male,Bachelor,67479,Azerbaijan,0.6,8624.37,1
Richard Scott,48,Female,Master,92509,Iceland,0.6,12975.27,0
Rodney Miller,29,Male,High School,89891,Ukraine,1.0,12494.55,0
Richard Harris,37,Male,PhD,39257,Bahrain,0.3,5988.855,1
Jonathon Powell,32,Female,Bachelor,51019,French Guiana,0.3,4665.285,1
Michael Brown,36,Female,PhD,26062,Guatemala,0.3,6390.93,1
Peter Reid,56,Male,PhD,30213,Brazil,0.2,4302.13,1
Destiny Singh,26,Female,Master,92191,Namibia,0.7,13726.685,0
Brent Rich,65,Male,PhD,59063,Greenland,0.6,13771.89,0
Seth Johnson,23,Male,PhD,68399,Congo,0.9,14777.955,0
James David,21,Female,PhD,21104,Gambia,0.7,11238.64,0
Alice Torres,64,Female,PhD,46737,Niue,0.6,14602.11,0
Paul Lopez,36,Female,High School,44308,Hong Kong,0.2,2843.08,1
Anna Carter,35,Male,Bachelor,78479,French Southern Territories,0.7,10446.765,0
Benjamin Smith,29,Female,PhD,42903,Guinea-Bissau,0.4,8058.06,1
Richard Barnes,47,Female,Bachelor,66578,Jersey,0.8,14663.12,0
Jonathan Michael,58,Male,PhD,46691,Panama,0.5,11167.275,0
Anthony Bell,18,Female,PhD,21019,Djibouti,0.4,6420.38,1
Ashley Riggs,37,Male,Master,91461,Ecuador,1.0,19573.05,0
Jeffrey Hardy,27,Female,PhD,32131,Gibraltar,0.8,15685.24,0
Robin Miller,32,Female,Master,22833,American Samoa,0.2,3228.33,1
Rebecca Hammond,35,Male,High School,53629,Philippines,0.7,7477.015,0
Thomas Perez,51,Female,PhD,33373,Angola,0.5,11834.325,0
Kristin Collins,40,Female,Bachelor,98041,Saudi Arabia,0.2,3980.41,1
Caitlyn Nguyen,20,Male,Master,60056,Lesotho,0.9,11702.52,0
Emily Williams,39,Male,Bachelor,41437,Norway,0.2,3014.37,1
Jessica Walker,44,Female,Master,88135,Benin,0.3,6422.025,1
David Jones,54,Male,High School,73844,Guatemala,0.9,14122.98,0
Kristi Stevens,43,Female,Master,77981,Bangladesh,0.6,12539.43,0
Michelle Jordan,54,Male,Bachelor,36160,Liechtenstein,0.2,3361.6,1
Alexis Ortega,42,Female,PhD,38288,Denmark,0.9,19722.96,0
Cheyenne Wright,60,Female,Master,81953,Honduras,0.7,16168.355,0
Ashley Rodriguez,31,Female,PhD,85741,Paraguay,0.6,13372.23,0
John Schmitt,49,Male,PhD,59345,Hong Kong,0.3,6290.175,1
Renee Shelton,65,Female,High School,48274,Mayotte,0.1,1641.37,1
John Ford,40,Female,PhD,21325,Namibia,0.9,18959.625,0
Dawn Carter,22,Male,PhD,20841,Belgium,0.6,8425.23,1
Marcus Walker,20,Male,High School,55432,Palau,0.5,3885.8,1
Sharon Haney,64,Male,Bachelor,95084,Djibouti,0.5,9877.1,0
Terri Miller,30,Male,PhD,80410,Belgium,0.6,12012.3,0
Kathy Lee,42,Male,Master,75274,Anguilla,0.7,13134.59,0
Melissa Moore,27,Female,Bachelor,88702,Moldova,0.6,10461.06,0
Rachel Evans,26,Male,Bachelor,78212,Burundi,0.6,8946.36,1
Adam Murray,42,Female,PhD,71057,Netherlands,0.4,9421.14,1
Melinda Murphy,30,Female,Bachelor,96877,Moldova,0.1,1784.385,1
James Johnson,42,Male,Bachelor,31096,Kuwait,0.3,4366.44,1
Angela Walter,41,Male,Bachelor,50548,Iceland,1.0,15527.4,0
Andrew Morris,37,Male,Master,66277,Vietnam,0.7,12819.695,0
Patrick Wiggins,47,Male,PhD,96147,Cocos (Keeling) Islands,0.8,18245.88,0
Tom Baker,49,Female,PhD,48235,Micronesia,0.6,13447.05,0
Clayton Garrison,35,Male,High School,26888,United States of America,0.3,2803.32,1
Matthew Smith,40,Male,Master,20934,Myanmar,0.3,4814.01,1
Ashley Maldonado,22,Female,Bachelor,99775,Armenia,0.7,10492.125,0
Adam Ortiz,53,Male,PhD,45277,Panama,0.6,13358.31,0
Scott Gray,56,Male,High School,61815,Haiti,0.6,9054.45,0
Scott Wilcox,52,Female,Master,53488,Somalia,0.1,2167.44,1
Amy Cannon,51,Male,Bachelor,68326,Tokelau,0.2,3683.26,1
Daisy Walter,31,Female,Bachelor,46426,Christmas Island,0.5,7660.65,1
John Koch,61,Female,Master,87751,Liechtenstein,0.7,16371.285,0
Anthony Castillo,34,Female,Master,51452,American Samoa,0.1,1757.26,1
Michael Griffin,37,Male,High School,80415,Slovenia,0.8,11216.6,0
Julia George,64,Female,High School,74017,French Polynesia,0.8,14160.68,0
Kevin Huff,47,Female,High School,31221,Chad,0.2,2712.21,1
Omar Suarez,33,Male,Bachelor,74265,Cote d'Ivoire,0.4,5885.3,1
Kathleen Barton,46,Male,PhD,93270,Brazil,0.7,15864.45,0
Vanessa Stevens,20,Male,Bachelor,84227,Yemen,0.4,4884.54,1
Marcus Brown,26,Female,Master,61890,Central African Republic,0.7,12666.15,0
Jeffrey Haley,24,Female,Bachelor,58881,Mayotte,0.8,10355.24,0
David Myers,50,Female,Master,55723,Paraguay,0.4,7914.46,1
Felicia Fisher,19,Male,High School,42619,Malawi,0.7,4991.665,1
Ashley Curtis,33,Male,Master,20844,Algeria,0.9,12637.98,0
Troy Mendoza,50,Female,High School,35963,Morocco,0.7,9658.705,0
Leonard Acevedo,59,Female,High School,94012,Reunion,0.6,11220.36,0
Kelly Ritter,32,Female,Bachelor,51475,Mayotte,0.2,3114.75,1
Tom Gonzales,51,Female,Master,50618,Afghanistan,0.6,12918.54,0
Elizabeth Benson,58,Female,Master,96291,Singapore,0.3,7144.365,1
Bradley Chavez,26,Male,Master,68101,Albania,1.0,16405.05,0
Kristen Davis,58,Male,Bachelor,71849,Argentina,0.3,5577.735,1
Debra Hogan,29,Male,Bachelor,47066,Ethiopia,0.8,10682.64,0
Derek Garcia,54,Male,Bachelor,37318,Bolivia,0.4,6746.36,1
Kevin Kemp,42,Female,Bachelor,85334,Heard Island and McDonald Islands,0.2,3853.34,1
Johnny Johnson,57,Male,Master,84120,Norway,0.8,16964.8,0
Jeremy Peters,37,Male,Bachelor,92813,Nicaragua,0.3,5292.195,1
Jeffrey Ramos DDS,60,Female,PhD,91569,Western Sahara,0.6,15947.07,0
Christopher Nichols,63,Male,Master,38015,Western Sahara,1.0,18900.75,0
Mary Jones,43,Male,Master,58237,United States of America,0.7,12538.295,0
Carl Carter,21,Male,High School,61308,Kyrgyz Republic,0.4,3226.16,1
Carrie Nichols,39,Female,Bachelor,54092,Costa Rica,0.6,10622.76,0
Anthony Paul,60,Male,Master,22225,Algeria,0.6,10866.75,0
Mary Robbins,54,Male,Bachelor,66323,Serbia,0.1,1831.615,1
Caleb Smith,49,Male,High School,51649,Malawi,0.1,1258.245,1
John Reed,18,Male,Master,28722,Fiji,0.1,1143.61,1
James Mayer,40,Female,Bachelor,48380,Puerto Rico,0.8,13935.2,0
Mary Powell,45,Male,Master,60888,Oman,0.3,5413.32,1
Russell Olson,59,Female,PhD,70157,Montserrat,0.1,2550.785,1
Jennifer Johnson,44,Female,PhD,25497,Lithuania,1.0,21274.85,0
Luis Reed,25,Female,PhD,42454,Czech Republic,0.1,1712.27,1
Kevin Burch,50,Male,Bachelor,30439,Timor-Leste,0.6,8713.17,0
Joshua Munoz,33,Male,Bachelor,22880,Belarus,0.3,3643.2,1
Shelby Arnold,65,Male,High School,75990,Tokelau,1.0,15799.5,0
Victoria Montes,24,Female,Bachelor,98901,Cyprus,0.1,1494.505,1
James Nguyen Jr.,34,Female,PhD,23573,Colombia,0.1,1917.865,1
Danielle Fuentes,49,Male,Master,58369,Sao Tome and Principe,0.3,5375.535,1
Theresa Garcia,47,Male,Master,41270,Estonia,0.7,11944.45,0
Rebecca Whitaker,39,Female,PhD,71457,Germany,0.1,2357.285,1
Andrea Lin,37,Female,PhD,24578,French Southern Territories,0.9,19106.01,0
Jamie Lee,54,Female,High School,79758,Philippines,0.7,12591.53,0
Michelle Williams,64,Male,PhD,65428,Falkland Islands (Malvinas),0.8,18617.12,0
Carol Oliver,21,Male,Master,24492,Tuvalu,0.5,5612.3,1
Christopher Sherman,61,Female,Bachelor,89372,Saint Vincent and the Grenadines,0.9,19321.74,0
Jennifer Hunter,39,Female,Master,47390,Azerbaijan,0.2,3873.9,1
Stephen Brewer,54,Female,Bachelor,96827,Monaco,0.9,19657.215,0
Danielle Todd,61,Female,Bachelor,40061,Iran,0.6,11401.83,0
Gregory Moore,65,Male,High School,94038,Liechtenstein,0.3,5010.57,1
Alexandra Diaz,40,Female,Master,58459,Bangladesh,0.6,11953.77,0
Tabitha Gonzales,49,Female,PhD,42286,Sao Tome and Principe,0.1,2211.43,1
Kevin Baker,27,Male,PhD,36495,Taiwan,0.6,10694.85,0
Nicole Williams,18,Female,Master,44596,Uruguay,0.2,2845.96,1
Curtis Beasley,53,Female,Master,42784,Timor-Leste,0.9,19025.28,0
John Guzman,28,Male,Bachelor,95980,Somalia,0.2,3159.8,1
Sarah Hernandez,50,Female,PhD,54833,El Salvador,0.5,11370.825,0
Benjamin Brown,36,Male,PhD,56757,Austria,0.5,10418.925,1
Diane Small DVM,52,Female,Master,44902,Finland,0.7,14871.57,0
Ashley Bird,27,Male,Bachelor,93830,Belize,0.7,10984.05,0
Susan Pham,41,Female,High School,93609,Dominica,0.7,11676.315,0
Kathleen Rodriguez,58,Male,High School,67477,Russian Federation,0.9,13836.465,0
Stephanie Jones,28,Male,Master,85141,Slovenia,0.1,1725.705,1
Abigail Shaw,64,Male,Bachelor,55975,Senegal,0.3,5339.625,1
Samantha Saunders,44,Male,PhD,51029,Austria,0.8,16441.16,0
Lisa Brown,50,Male,Bachelor,41559,Belize,0.8,12062.36,0
Mary Smith,22,Female,PhD,55632,Ukraine,0.5,8890.8,1
Timothy Adkins,45,Female,Master,31878,Gambia,0.5,9296.95,1
Michele Chang,19,Female,High School,52841,Benin,0.4,3856.82,1
Andrea Russell,43,Female,PhD,71021,Vanuatu,0.1,2355.105,1
Kimberly Craig,55,Female,Master,94552,Heard Island and McDonald Islands,0.3,7118.28,1
Charles Moore,54,Female,Master,23185,Kuwait,0.7,14111.475,0
Mary Miranda,48,Male,High School,30680,Tuvalu,1.0,11534.0,0
Emily Nixon,40,Female,High School,29092,Japan,0.4,5381.84,1
Patricia Villarreal,63,Male,PhD,25651,United States Minor Outlying Islands,0.6,12769.53,0
David Kirby,19,Female,PhD,36419,New Caledonia,0.5,8410.475,1
Brandon Jackson,44,Male,Bachelor,72979,Slovakia (Slovak Republic),0.5,8324.475,1
April Meyer,50,Male,Bachelor,36434,Guadeloupe,0.3,4446.51,1
John Green,48,Male,High School,92737,Guinea-Bissau,0.7,10245.795,0
Tonya Gamble,29,Female,High School,30581,Cambodia,0.9,10376.145,0
Michael Davis,29,Female,Bachelor,54205,South Africa,0.6,9426.15,1
Brittney Ball,62,Female,Master,87821,Marshall Islands,0.8,18712.84,0
Emily Garcia,27,Female,Bachelor,25059,New Zealand,1.0,14252.95,0
Isaiah Weaver,29,Male,Master,29390,Angola,0.4,5787.8,1
Jennifer Ramirez,59,Female,Bachelor,80118,Gambia,0.9,18905.31,0
Daniel Chen,28,Female,Bachelor,82453,Netherlands,0.9,15410.385,0
Grace Howard,21,Male,Master,20322,Cayman Islands,0.2,2203.22,1
Tonya Thomas,24,Female,Master,94746,United States Minor Outlying Islands,0.8,13389.84,0
Ryan Johnson,39,Female,Master,35577,Burundi,0.3,5633.655,1
Leah Wilson,38,Male,Bachelor,36397,Djibouti,0.1,1481.985,1
Christopher Walker,39,Male,High School,74242,Slovenia,0.1,1371.21,1
Jason Meyers,62,Female,PhD,26846,Palau,1.0,23342.3,0
Lisa Carter,63,Male,Master,30147,Saint Kitts and Nevis,0.7,12955.145,0
Jill Ward,21,Female,Master,99186,Switzerland,1.0,16959.3,0
Bruce Ramirez,34,Female,PhD,74031,Sierra Leone,0.3,6510.465,1
John Swanson,19,Female,Master,44968,Ukraine,0.7,9973.88,0
Kenneth Vazquez,22,Female,High School,36169,Afghanistan,0.1,880.845,1
Andrew Collier,40,Male,Bachelor,72922,Serbia,1.0,16646.1,0
Jason Pollard,62,Male,Master,79831,Gabon,0.9,18892.395,0
Cathy Hunter,65,Female,PhD,30544,Togo,0.1,2352.72,1
Bradley Rice,52,Female,Master,23643,Belgium,0.9,18163.935,0
Brian Hamilton,24,Male,Master,66995,Spain,0.2,2669.95,1
Amber Moreno,48,Male,Bachelor,87711,Bouvet Island (Bouvetoya),0.5,8692.775,1
Michael Snyder,20,Male,PhD,64261,Northern Mariana Islands,0.3,4863.915,1
Jeremy Hogan,53,Male,Bachelor,42887,Netherlands Antilles,0.3,5143.305,1
Nicole Long,58,Male,Master,23125,Senegal,0.8,14525.0,0
Glenda Watson,58,Female,High School,49678,Liberia,0.4,6593.56,1
Veronica Adams,58,Female,Master,42284,Ukraine,0.4,8445.68,1
Dennis Watson,40,Male,Bachelor,75148,Niue,0.8,13405.92,0
Sandra Garner,41,Male,PhD,94044,Bouvet Island (Bouvetoya),0.1,2270.22,1
Michael Bishop,28,Male,PhD,42539,Ethiopia,0.3,5438.085,1
Ryan Hunter,19,Male,Master,86858,Estonia,0.1,1434.29,1
Christopher Mendoza,20,Male,High School,95104,Hong Kong,1.0,9755.2,0
Jesus Stewart,27,Male,PhD,23465,Croatia,0.7,12021.275,0
Breanna Griffin,45,Female,Bachelor,38065,China,0.6,10141.95,0
Karen Sanders,50,Male,PhD,29574,Nigeria,0.3,5843.61,1
Christopher Knox,44,Female,High School,76562,Lesotho,0.7,11079.67,0
Laurie Willis,33,Female,PhD,49495,Slovenia,0.7,14332.325,0
Terri Lara,33,Female,PhD,96202,Brazil,0.2,4562.02,1
Clifford Haynes,34,Female,Master,91085,Zimbabwe,0.1,1955.425,1
Amy Petty,56,Female,Bachelor,56212,Cyprus,0.1,1981.06,1
Matthew Lopez,57,Female,PhD,33980,Afghanistan,0.9,21329.1,0
Amanda Rice,21,Male,PhD,23512,Bosnia and Herzegovina,0.7,9922.92,0
Sylvia Lee,64,Female,PhD,33738,Algeria,0.8,18949.52,0
Leslie Sullivan,56,Female,Bachelor,42230,Puerto Rico,0.6,11466.9,0
Lisa Reyes,48,Female,Bachelor,97359,Jersey,0.5,9933.975,0
Mr. Curtis Kemp,50,Male,Master,65274,Philippines,0.3,5479.11,1
Roberta Morgan,58,Female,PhD,87989,British Indian Ocean Territory (Chagos Archipelago),0.1,2639.945,1
Erik Brown,30,Female,Bachelor,96504,Aruba,0.6,10695.12,0
Todd Gonzalez,36,Female,High School,58156,Tokelau,0.9,13417.02,0
Jennifer Taylor,45,Male,PhD,55267,Turkmenistan,0.7,14534.345,0
Ana Ryan,64,Male,Master,37584,Liberia,0.3,5663.76,1
Dr. Robert King Jr.,25,Female,Bachelor,24092,Central African Republic,0.7,7843.22,1
Ian Moon,54,Female,PhD,29983,Northern Mariana Islands,0.2,4699.83,1
Jason Wagner,45,Male,Bachelor,40049,Lao People's Democratic Republic,0.4,6000.98,1
Jacob Adkins,28,Male,High School,88852,Tanzania,0.3,3732.78,1
Thomas Anderson,49,Female,Master,63931,Monaco,0.2,4039.31,1
Maria Patel,44,Female,Bachelor,64888,Kiribati,0.9,16419.96,0
Michelle Rivera,39,Male,PhD,92807,Andorra,0.5,11320.175,0
Zachary Romero,33,Female,Master,71152,Sweden,0.8,14846.08,0
George Walker,50,Female,PhD,73254,Palestinian Territory,0.2,4732.54,1
Amanda Walker,61,Male,Bachelor,20644,Poland,1.0,16032.2,0
Mr. Richard Barry Jr.,56,Male,Bachelor,98090,Niue,1.0,19904.5,0
Lindsey Rodriguez,50,Male,Master,42103,Nigeria,0.7,11973.605,0
Deborah Vasquez,23,Male,High School,35125,Colombia,0.6,4053.75,1
Matthew Leach,64,Female,Master,34174,Pitcairn Islands,0.8,16566.96,0
Jeremy Thomas,41,Female,PhD,49978,Guinea,0.3,6749.67,1
Jessica Hall,53,Male,Bachelor,23379,American Samoa,0.3,4850.685,1
Christopher Owens,51,Female,Bachelor,77433,Saint Barthelemy,0.7,14610.155,0
Sydney Molina,34,Male,Bachelor,70884,Kiribati,0.3,4363.26,1
Christopher Allen,46,Male,PhD,31376,Mauritius,1.0,19568.8,0
Nancy Wright,43,Female,Bachelor,86426,Taiwan,0.8,15457.04,0
Jaime Rodgers,20,Female,High School,55217,Kyrgyz Republic,0.9,8784.765,0
Joyce Cook,49,Female,PhD,54774,Cyprus,0.3,6821.61,1
Alex Sanchez,32,Female,Bachelor,59643,Burundi,1.0,15982.15,0
Willie Lawson PhD,27,Female,High School,28977,Bouvet Island (Bouvetoya),0.8,9159.08,0
Russell Young,43,Female,High School,54803,Madagascar,0.8,11792.12,0
Matthew Rojas,32,Male,Master,38490,Northern Mariana Islands,0.6,8954.7,1
Mark Burton,24,Male,High School,37931,Singapore,1.0,6896.55,0
Jennifer Li,53,Male,High School,24333,Malawi,0.7,9251.655,0
Joseph Ramos,53,Female,High School,81992,Turkmenistan,0.9,16289.64,0
Christopher Owen MD,40,Female,High School,20674,Mongolia,0.4,5213.48,1
Rebekah Dorsey,32,Female,Master,55973,Korea,0.4,7119.46,1
Hunter Phillips,18,Female,Master,86712,Mongolia,0.6,9801.36,1
Diane Evans,23,Male,Master,95191,British Indian Ocean Territory (Chagos Archipelago),0.7,10331.685,0
Eric Allen,32,Female,PhD,39067,Marshall Islands,0.4,7981.34,1
Sierra Harmon,36,Male,PhD,67076,Eritrea,0.5,10676.9,1
Aimee Mitchell,42,Male,High School,72585,Gambia,0.6,8177.55,1
Kyle Gilmore,50,Female,Bachelor,69012,Lithuania,0.6,11070.36,0
Andrew Cook,45,Female,Master,72543,Armenia,0.5,10313.575,0
Joseph Wilson,24,Female,Master,35810,Turks and Caicos Islands,0.8,11032.4,0
Randy Ramirez,27,Female,Bachelor,44502,South Africa,0.6,9135.06,1
Hannah Gibson,49,Male,High School,70319,Egypt,0.7,9461.165,0
Michael Watson,47,Female,Bachelor,72335,Uruguay,0.9,16755.075,0
Dr. John Moore,37,Female,Bachelor,61225,Slovenia,0.9,16255.125,0
Jason Thomas,61,Male,High School,81835,Wallis and Futuna,0.6,9655.05,0
Austin Johns,43,Male,PhD,26373,Hungary,1.0,19318.65,0
Derek Miranda,20,Female,High School,54532,French Southern Territories,0.4,3890.64,1
Brandon Gardner,64,Female,Bachelor,34825,Solomon Islands,0.3,5622.375,1
Walter Simmons,62,Female,High School,50635,Lesotho,0.1,1653.175,1
Michael Mason,18,Female,High School,36994,Cocos (Keeling) Islands,0.2,1769.94,1
Stanley Thomas,56,Male,High School,81091,Eritrea,0.4,6421.82,1
